username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,hora_rep,followers_diff,clase
JEANVINEY,54,0,22,385,1064,0,1,0.06666666666666667,0.13333333333333333,0.6,0.0,0.3333333333333333,-22,bot
ashtonislife_,593,0,615,1418,6853,5,208,0.0,0.041666666666666664,0.2916666666666667,0.0,0.3541666666666667,-615,bot
aserrano1001,898,0,30552,29538,20553,266,6483,0.6666666666666666,0.6666666666666666,3.0,0.0,0.6666666666666666,-30552,bot
danialjackson,382,0,24,64,1710,0,2,0.24,0.02,0.3,0.0,0.12,-24,bot
peterjames08,9,0,57,41,2917,0,3,0.0,0.0,0.0,0.0,0.5,-57,bot
Fulfledged,120,0,6,338,1070,2,0,0.0,0.0,0.0,0.0,1.0,-6,bot
GkLakon,197,0,1,49,65,0,1,0.0,0.0,0.0,0.0,0.2,-1,bot
magnet0r,139,0,18,111,2910,2,1,0.17777777777777778,0.1111111111111111,0.28888888888888886,0.0,0.2222222222222222,-18,bot
CSPANFive,189,0,1385,1,9847,34,9757,0.0,0.22916666666666666,0.625,0.020833333333333332,0.16666666666666666,-1385,bot
haeyuan,15,0,24,34,220,0,41,0.0,0.0,0.0,0.0,1.0,-24,bot
ELyons72,196,0,5,111,875,1,1,0.5,0.0,1.5,0.0,0.5,-5,bot
rob808_2002,135,0,4,63,1198,0,0,0.0,0.0,0.0,0.0,1.0,-4,bot
candymanat,169,0,18,40,2798,0,0,0.0,0.0,0.0,0.0,0.2727272727272727,-18,bot
BriannaYorke,556,0,12,39,3054,0,7,0.0,0.0,0.023255813953488372,0.0,0.16279069767441862,-12,bot
sherrik2326384,409,0,14,21,1970,2,0,0.0,0.0,0.0,0.0,0.6,-14,bot
Dimissas,237,0,6,103,16,0,5,0.0,0.0,0.0,0.0,1.0,-6,bot
autodoyle,44,0,189,2,66545,20,0,0.0,0.0,0.0,0.0,0.058823529411764705,-189,bot
OnlineBaitShop,2912,0,3240,879,2389,23,4,0.0,0.09615384615384616,0.38461538461538464,0.0,0.5,-3240,bot
GreggsOfficial,675,1,206731,11664,141871,543,3325,0.1702127659574468,0.14893617021276595,1.9148936170212767,0.06382978723404255,0.23404255319148937,-206730,bot
RoxanneCastille,45,0,6,269,195,0,0,0.0,0.0,0.0,0.0,1.0,-6,bot
